material,categoria,sku,precio,imagenes,carpeta
Oro 18k,Cadenas,44293,175000,5,Catalogo Oro\Cadenas\44293
Oro 18k,Cadenas,46521,195000,3,Catalogo Oro\Cadenas\46521
Oro 18k,Cadenas,42556,105000,3,Catalogo Oro\Cadenas\42556
Oro 18k,Cadenas,44768,335000,5,Catalogo Oro\Cadenas\44768
Oro 18k,Cadenas,40056,115000,4,Catalogo Oro\Cadenas\40056
Oro 18k,Cadenas,45213,295000,2,Catalogo Oro\Cadenas\45213
Oro 18k,Cadenas,45063,155000,3,Catalogo Oro\Cadenas\45063
Oro 18k,Conjunto,63002,100000,5,Catalogo Oro\Conjunto\63002
Oro 18k,Conjunto,63003,100000,5,Catalogo Oro\Conjunto\63003
Oro 18k,Conjunto,60001,75000,3,Catalogo Oro\Conjunto\60001
Oro 18k,Conjunto,60000,75000,3,Catalogo Oro\Conjunto\60000
Oro 18k,Conjunto,71562,175000,2,Catalogo Oro\Conjunto\71562
Oro 18k,Denario,90006,125000,4,Catalogo Oro\Denario\90006
Oro 18k,Dijes,26360-C,35000,3,Catalogo Oro\Dijes\26360-C
Oro 18k,Dijes,25360-W,50000,4,Catalogo Oro\Dijes\25360-W
Oro 18k,Dijes,23297,50000,4,Catalogo Oro\Dijes\23297
Oro 18k,Dijes,23354,60000,3,Catalogo Oro\Dijes\23354
Oro 18k,Dijes,23320,65000,4,Catalogo Oro\Dijes\23320
Oro 18k,Dijes,23368,65000,3,Catalogo Oro\Dijes\23368
Oro 18k,Dijes,20008,50000,2,Catalogo Oro\Dijes\20008
Oro 18k,Dijes,23317,85000,3,Catalogo Oro\Dijes\23317
Oro 18k,Dijes,23381,60000,3,Catalogo Oro\Dijes\23381
Oro 18k,Dijes,24463,60000,3,Catalogo Oro\Dijes\24463
Oro 18k,Dijes,26360-I,35000,5,Catalogo Oro\Dijes\26360-I
Oro 18k,Dijes,23183,55000,5,Catalogo Oro\Dijes\23183
Oro 18k,Dijes,23312,75000,3,Catalogo Oro\Dijes\23312
Oro 18k,Dijes,23356,65000,4,Catalogo Oro\Dijes\23356
Oro 18k,Dijes,25360-U,50000,4,Catalogo Oro\Dijes\25360-U
Oro 18k,Dijes,24360-N,65000,3,Catalogo Oro\Dijes\24360-N
Oro 18k,Dijes,23361,45000,4,Catalogo Oro\Dijes\23361
Oro 18k,Dijes,23318,75000,3,Catalogo Oro\Dijes\23318
Oro 18k,Dijes,23370-N,60000,3,Catalogo Oro\Dijes\23370-N
Oro 18k,Dijes,26360-H,35000,3,Catalogo Oro\Dijes\26360-H
Oro 18k,Dijes,23370-S,60000,3,Catalogo Oro\Dijes\23370-S
Oro 18k,Dijes,23333,70000,2,Catalogo Oro\Dijes\23333
Oro 18k,Dijes,23373,100000,3,Catalogo Oro\Dijes\23373
Oro 18k,Dijes,23216,95000,4,Catalogo Oro\Dijes\23216
Oro 18k,Dijes,23337,100000,4,Catalogo Oro\Dijes\23337
Oro 18k,Dijes,23164,70000,3,Catalogo Oro\Dijes\23164
Oro 18k,Dijes,27360-R,45000,1,Catalogo Oro\Dijes\27360-R
Oro 18k,Dijes,23178,55000,4,Catalogo Oro\Dijes\23178
Oro 18k,Dijes,23326,60000,3,Catalogo Oro\Dijes\23326
Oro 18k,Dijes,23128-AZUL,70000,5,Catalogo Oro\Dijes\23128-AZUL
Oro 18k,Dijes,23068-CRISTAL,65000,5,Catalogo Oro\Dijes\23068-CRISTAL
Oro 18k,Dijes,23223,80000,3,Catalogo Oro\Dijes\23223
Oro 18k,Dijes,27360-C,45000,1,Catalogo Oro\Dijes\27360-C
Oro 18k,Dijes,23238,60000,1,Catalogo Oro\Dijes\23238
Oro 18k,Dijes,26360-D,35000,3,Catalogo Oro\Dijes\26360-D
Oro 18k,Dijes,23100,80000,5,Catalogo Oro\Dijes\23100
Oro 18k,Dijes,27360-P,45000,1,Catalogo Oro\Dijes\27360-P
Oro 18k,Dijes,23370-T,60000,3,Catalogo Oro\Dijes\23370-T
Oro 18k,Dijes,23121-CRISTAL,60000,3,Catalogo Oro\Dijes\23121-CRISTAL
Oro 18k,Dijes,23350,65000,3,Catalogo Oro\Dijes\23350
Oro 18k,Dijes,23080,55000,4,Catalogo Oro\Dijes\23080
Oro 18k,Dijes,25360-E,50000,5,Catalogo Oro\Dijes\25360-E
Oro 18k,Dijes,23174,65000,6,Catalogo Oro\Dijes\23174
Oro 18k,Dijes,25360-Z,50000,4,Catalogo Oro\Dijes\25360-Z
Oro 18k,Dijes,23273,60000,3,Catalogo Oro\Dijes\23273
Oro 18k,Dijes,26360-X,35000,3,Catalogo Oro\Dijes\26360-X
Oro 18k,Dijes,26360-W,35000,3,Catalogo Oro\Dijes\26360-W
Oro 18k,Dijes,23069-VERDE,65000,6,Catalogo Oro\Dijes\23069-VERDE
Oro 18k,Dijes,23189-COLORS,85000,4,Catalogo Oro\Dijes\23189-COLORS
Oro 18k,Dijes,23019,65000,6,Catalogo Oro\Dijes\23019
Oro 18k,Dijes,23364,50000,3,Catalogo Oro\Dijes\23364
Oro 18k,Dijes,23196,95000,5,Catalogo Oro\Dijes\23196
Oro 18k,Dijes,24476,65000,8,Catalogo Oro\Dijes\24476
Oro 18k,Dijes,23302,60000,3,Catalogo Oro\Dijes\23302
Oro 18k,Dijes,23173,75000,6,Catalogo Oro\Dijes\23173
Oro 18k,Dijes,23065,85000,6,Catalogo Oro\Dijes\23065
